"Time","camera_rel_pose_dphi","camera_rel_pose_dx","camera_rel_pose_dy","fusion_rel_pose_dphi","fusion_rel_pose_dx","fusion_rel_pose_dy","groundtruth_follow_longi_velocity","groundtruth_lead_longi_velocity","groundtruth_rel_pose_dphi","groundtruth_rel_pose_dx","groundtruth_rel_pose_dy","lidar_rel_pose_dphi","lidar_rel_pose_dx","lidar_rel_pose_dy"
0.291,-0.001819930342,3.128728332,0.005598101969,-0.00939710908,3.157765241,0.02433682992,7.466670638e-07,7.466670664e-07,1.203259714e-12,3.11,-2.46590889e-06,0.0001155822869,3.161613174,-0.0001133999861
0.301,-0.001819930342,3.128728332,0.005598101969,-0.009397099507,3.157765611,0.02433653936,7.414219289e-07,7.414219288e-07,1.240119119e-12,3.11,-2.69064614e-06,0.0001155822869,3.161613174,-0.0001133999861
0.311,-0.001819930342,3.128728332,0.005598101969,-0.00718328841,3.158687998,0.01903698078,7.252251682e-07,7.252251663e-07,1.2758683e-12,3.11,-2.906254592e-06,0.0001109766528,3.161615561,-0.0001088814777
0.321,-0.001819930342,3.128728332,0.005598101969,-0.007183156922,3.158688309,0.01903595102,7.023816103e-07,7.023816071e-07,1.310285214e-12,3.11,-3.111072991e-06,0.0001109766528,3.161615561,-0.0001088814777
0.331,-0.001819930342,3.128728332,0.005598101969,-0.007183269562,3.158688724,0.01903646851,6.764465536e-07,6.764465496e-07,1.34336986e-12,3.11,-3.303677716e-06,0.0001109766528,3.161615561,-0.0001088814777
0.341,-0.001819930342,3.128728332,0.005598101969,-0.00718323708,3.158689066,0.01903607703,6.503263955e-07,6.503263907e-07,1.375344283e-12,3.11,-3.482684108e-06,0.0001109766528,3.161615561,-0.0001088814777
0.351,-0.001819930342,3.128728332,0.005598101969,-0.007183276944,3.158688978,0.01903616429,6.261590097e-07,6.261590043e-07,1.405986438e-12,3.11,-3.647129647e-06,0.0001109766528,3.161615561,-0.0001088814777
0.361,-0.001819930342,3.128728332,0.005598101969,-0.007183267268,3.158689446,0.01903594418,6.053931142e-07,6.05393108e-07,1.435740415e-12,3.11,-3.796043741e-06,0.0001109766528,3.161615561,-0.0001088814777
0.371,-0.001819930342,3.128728332,0.005598101969,-0.003939063783,3.16139713,0.01438200633,5.889991293e-07,5.889991221e-07,1.46394008e-12,3.11,-3.928767691e-06,0.009754609193,3.172768071,-0.007171310332
0.381,-0.001819930342,3.128728332,0.005598101969,-0.003938909309,3.161397403,0.01438091529,5.774593933e-07,5.77459385e-07,1.491251567e-12,3.11,-4.044769182e-06,0.009754609193,3.172768071,-0.007171310332
0.391,-0.001819930342,3.128728332,0.005598101969,-0.003939054996,3.161397535,0.01438173653,5.70990999e-07,5.709909893e-07,1.517896919e-12,3.11,-4.143654848e-06,0.009754609193,3.172768071,-0.007171310332
0.401,-0.001819930342,3.128728332,0.005598101969,-0.003939016169,3.161397988,0.01438140104,5.695547957e-07,5.695547844e-07,1.543210004e-12,3.11,-4.225248049e-06,0.009754609193,3.172768071,-0.007171310332
0.411,-0.001819930342,3.128728332,0.005598101969,-0.003939064024,3.161398626,0.0143816273,5.729523819e-07,5.729523689e-07,1.567190822e-12,3.11,-4.289439351e-06,0.009754609193,3.172768071,-0.007171310332
0.421,-0.001819930342,3.128728332,0.005598101969,-0.003939052341,3.161399006,0.0143814953,5.808878813e-07,5.808878665e-07,1.59072755e-12,3.11,-4.336314437e-06,0.009754609193,3.172768071,-0.007171310332
