"Time","estimated_follow_longi_velocity","estimated_follow_sideslip_angle","estimated_lead_longi_velocity","estimated_lead_sideslip_angle","groundtruth_follow_longi_velocity","groundtruth_follow_sideslip_angle","groundtruth_lead_longi_velocity","groundtruth_lead_sideslip_angle"
0.531,-4.262064026e-08,0,-4.900941255e-08,0,8.424842321e-07,0,8.424841944e-07,0
0.541,-1.069616936e-05,0,-4.900941255e-08,0,8.70677163e-07,0,8.706771237e-07,0
0.551,-2.134971379e-05,0,-1.922560568e-05,0,8.979630591e-07,0,8.979630184e-07,0
0.561,-3.200354094e-05,0,-1.922560568e-05,0,9.240583159e-07,0,9.240582739e-07,0
0.571,-4.26153804e-08,0,-4.262117662e-08,0,9.487091027e-07,0,9.487090596e-07,0
0.581,-1.069777677e-05,0,-4.262117662e-08,0,9.716926098e-07,0,9.716925659e-07,0
0.591,-2.135394564e-05,0,-1.922115048e-05,0,9.928165885e-07,0,9.928165439e-07,0
0.601,-3.201131891e-05,0,-1.922115048e-05,0,1.011917447e-06,0,1.011917402e-06,0
0.611,-4.262769873e-08,0,-4.155921365e-08,0,1.028860196e-06,0,1.028860151e-06,0
0.621,-1.070291802e-05,0,-4.155921365e-08,0,1.043534859e-06,0,1.043534814e-06,0
0.631,-2.136488401e-05,0,-2.029461649e-05,0,1.055850716e-06,0,1.055850671e-06,0
0.641,-3.202866335e-05,0,-2.029461649e-05,0,1.065680238e-06,0,1.065680194e-06,0
0.651,-4.265220816e-08,0,-4.264468346e-08,0,1.073015087e-06,0,1.073015043e-06,0
0.661,-1.071030311e-05,0,-4.264468346e-08,0,1.078057379e-06,0,1.078057335e-06,0
0.671,-2.137984115e-05,0,-2.244359818e-05,0,1.080513226e-06,0,1.080513183e-06,0
0.681,-3.204892872e-05,0,-2.244359818e-05,0,1.080076686e-06,0,1.080076645e-06,0
0.691,-4.268052368e-08,0,-4.267227651e-08,0,1.076148911e-06,0,1.068060237e-06,0
0.701,-1.072127003e-05,0,-4.267227651e-08,0,1.068060274e-06,0,1.068060237e-06,0
0.711,-2.140447645e-05,0,-2.139605055e-05,0,1.055947429e-06,0,1.055947395e-06,0
0.721,-3.209184178e-05,0,-2.139605055e-05,0,1.040315883e-06,0,1.040315852e-06,0
0.731,-4.273916327e-08,0,-4.165697163e-08,0,1.021473297e-06,0,1.021473269e-06,0
0.741,-1.073417876e-05,0,-4.165697163e-08,0,9.999479819e-07,0,9.999479564e-07,0
0.751,-2.142781721e-05,0,-2.142259938e-05,0,9.76255684e-07,0,9.762556617e-07,0
0.761,-3.212402797e-05,0,-2.142259938e-05,0,9.508348386e-07,0,9.508348195e-07,0
0.771,-4.27817848e-08,0,-4.811535331e-08,0,9.236176954e-07,0,9.2361768e-07,0
0.781,-1.074645716e-05,0,-4.811535331e-08,0,8.945388794e-07,0,8.945388678e-07,0
0.791,-2.145302237e-05,0,-2.145546609e-05,0,8.639490873e-07,0,8.639490796e-07,0
0.801,-3.216176264e-05,0,-2.145546609e-05,0,8.32437959e-07,0,8.324379549e-07,0
0.811,-4.282936433e-08,0,-3.747987681e-08,0,8.006441573e-07,0,8.006441567e-07,0
0.821,-1.075383494e-05,0,-3.747987681e-08,0,7.691424454e-07,0,7.69142448e-07,0
0.831,-2.146514943e-05,0,-2.253005111e-05,0,7.383946958e-07,0,7.383947013e-07,0
0.841,-3.217640326e-05,0,-2.253005111e-05,0,7.087410404e-07,0,7.087410486e-07,0
0.851,-4.284466123e-08,0,-4.176886094e-08,0,6.804123178e-07,0,6.804123285e-07,0
0.861,-1.075332457e-05,0,-4.176886094e-08,0,6.535513287e-07,0,6.535513416e-07,0
0.871,-2.146325627e-05,0,-2.360526247e-05,0,6.282354144e-07,0,6.282354294e-07,0
0.881,-3.217260162e-05,0,-2.360526247e-05,0,6.044965109e-07,0,6.044965279e-07,0
0.891,-4.283860591e-08,0,-4.604932526e-08,0,5.823371554e-07,0,5.823371742e-07,0
0.901,-1.075099232e-05,0,-4.604932526e-08,0,5.617422773e-07,0,5.617422977e-07,0
0.911,-2.145855789e-05,0,-2.039199183e-05,0,5.426873159e-07,0,5.426873378e-07,0
0.921,-3.216553943e-05,0,-2.039199183e-05,0,5.251434415e-07,0,5.251434648e-07,0
0.931,-4.282915661e-08,0,-3.962562895e-08,0,5.090806768e-07,0,5.090807012e-07,0
0.941,-1.074863112e-05,0,-3.962562895e-08,0,4.944695918e-07,0,4.944696173e-07,0
0.951,-2.145382321e-05,0,-2.252243671e-05,0,4.812820922e-07,0,4.812821185e-07,0
0.961,-3.215838289e-05,0,-2.252243671e-05,0,4.694916679e-07,0,4.694916951e-07,0
0.971,-4.28194854e-08,0,-4.816539827e-08,0,4.590733418e-07,0,4.590733696e-07,0
0.981,-1.074602407e-05,0,-4.816539827e-08,0,4.500034634e-07,0,4.500034917e-07,0
0.991,-2.144849721e-05,0,-1.931431527e-05,0,4.422594289e-07,0,4.422594575e-07,0
1.001,-2.082552775e-05,0,-1.931431527e-05,0,2.144930734e-05,0,2.144930737e-05,0
1.011,3.282852824e-05,0,-3.853955516e-08,0,2.66331389e-05,0,2.663313893e-05,0
1.021,2.257389426e-05,0,-3.853955516e-08,0,2.586952197e-05,0,2.5869522e-05,0
1.031,9.966955113e-06,0,-1.581981653e-05,0,2.408530289e-05,0,2.234088438e-05,0
1.041,-2.753170389e-06,0,-1.581981653e-05,0,2.234088436e-05,0,2.234088438e-05,0
1.051,-4.310163512e-07,0,-3.987019954e-07,0,2.065079126e-05,0,2.065079129e-05,0
1.061,-1.29787264e-05,0,-3.987019954e-07,0,1.91165548e-05,0,1.911655483e-05,0
1.071,-2.530157001e-05,0,-3.186746923e-05,0,1.773557458e-05,0,1.77355746e-05,0
1.081,-3.754360503e-05,0,-3.186746923e-05,0,1.643319527e-05,0,1.643319529e-05,0
1.091,2.216949941e-07,0,-8.019782539e-07,0,1.527591997e-05,0,1.421698922e-05,0
1.101,-1.174182134e-05,0,-8.019782539e-07,0,1.421698919e-05,0,1.421698922e-05,0
1.111,-2.363724971e-05,0,-2.119724368e-05,0,1.323770955e-05,0,1.323770958e-05,0
1.121,-3.540884379e-05,0,-2.119724368e-05,0,1.23694788e-05,0,1.236947882e-05,0
1.131,-5.321871826e-08,0,2.297075109e-07,0,1.156966831e-05,0,1.156966833e-05,0
1.141,-1.165926153e-05,0,2.297075109e-07,0,1.084278734e-05,0,1.084278736e-05,0
1.151,-2.316612892e-05,0,-1.260190265e-05,0,1.019602616e-05,0,1.019602618e-05,0
1.161,-3.46001698e-05,0,-1.260190265e-05,0,9.600133782e-06,0,9.600133799e-06,0
1.171,-8.767439619e-08,0,1.517960576e-07,0,9.064420334e-06,0,9.064420349e-06,0
1.181,-1.138613106e-05,0,1.517960576e-07,0,8.584649368e-06,0,8.584649382e-06,0
1.191,-2.263068063e-05,0,-2.927874412e-05,0,8.142778297e-06,0,8.14277831e-06,0
1.201,-3.382372749e-05,0,-2.927874412e-05,0,7.746576769e-06,0,7.74657678e-06,0
1.211,1.548070622e-08,0,-1.049431594e-07,0,7.38846629e-06,0,7.3884663e-06,0
1.221,-1.108149521e-05,0,-1.049431594e-07,0,7.059570185e-06,0,7.059570193e-06,0
1.231,-2.213515432e-05,0,-2.121696762e-05,0,6.764541766e-06,0,6.764541772e-06,0
1.241,-3.314739285e-05,0,-2.121696762e-05,0,6.495755589e-06,0,6.495755594e-06,0
1.251,-9.09573408e-08,0,9.666738533e-09,0,6.249165722e-06,0,6.249165725e-06,0
1.261,-1.103809791e-05,0,9.666738533e-09,0,6.026373467e-06,0,6.026373468e-06,0
1.271,-2.19554013e-05,0,-2.519289549e-05,0,5.82098881e-06,0,5.82098881e-06,0
1.281,-3.284907242e-05,0,-2.519289549e-05,0,5.631418643e-06,0,5.631418641e-06,0
1.291,-2.268178551e-08,0,-7.764879825e-08,0,5.45726142e-06,0,5.457261416e-06,0
1.301,-1.087005129e-05,0,-7.764879825e-08,0,5.293851338e-06,0,5.293851333e-06,0
1.311,-2.170001391e-05,0,-2.178742018e-05,0,5.140677555e-06,0,5.140677549e-06,0
1.321,-3.251218952e-05,0,-2.178742018e-05,0,4.996419973e-06,0,4.996419965e-06,0
1.331,-5.272683944e-08,0,-3.442246084e-08,0,4.858021768e-06,0,4.858021759e-06,0
1.341,-1.083912886e-05,0,-3.442246084e-08,0,4.725343005e-06,0,4.725342995e-06,0
1.351,-2.161410962e-05,0,-1.837762945e-05,0,4.596891669e-06,0,4.596891657e-06,0
1.361,-3.238072388e-05,0,-1.837762945e-05,0,4.470871701e-06,0,4.470871688e-06,0
1.371,-4.015421691e-08,0,-4.931139973e-08,0,4.347217713e-06,0,4.347217699e-06,0
1.381,-1.079277411e-05,0,-4.931139973e-08,0,4.22466957e-06,0,4.224669554e-06,0
1.391,-2.1541034e-05,0,-1.83326987e-05,0,4.10232095e-06,0,4.102320933e-06,0
1.401,-3.228538845e-05,0,-1.83326987e-05,0,3.980111507e-06,0,3.980111489e-06,0
1.411,-4.225078935e-08,0,-3.98668789e-08,0,3.857171496e-06,0,3.857171478e-06,0
1.421,-1.078232835e-05,0,-3.98668789e-08,0,3.733174919e-06,0,3.7331749e-06,0
1.431,-2.152123259e-05,0,-2.581697888e-05,0,3.608094334e-06,0,3.608094315e-06,0
1.441,-3.225987414e-05,0,-2.581697888e-05,0,3.481461082e-06,0,3.481461062e-06,0
1.451,-4.399532484e-08,0,-4.624551218e-08,0,3.353304836e-06,0,3.353304816e-06,0
1.461,-1.078384692e-05,0,-4.624551218e-08,0,3.223675651e-06,0,3.22367563e-06,0
1.471,-2.152504595e-05,0,-2.474790417e-05,0,3.09244364e-06,0,3.092443619e-06,0
1.481,-3.226794997e-05,0,-2.474790417e-05,0,2.959845885e-06,0,2.959845864e-06,0
1.491,-4.210135108e-08,0,-4.394091343e-08,0,2.826033757e-06,0,2.826033736e-06,0
1.501,-1.078902911e-05,0,-4.394091343e-08,0,2.691129287e-06,0,2.691129267e-06,0
1.511,-2.153823227e-05,0,-1.831141539e-05,0,2.555474895e-06,0,2.555474875e-06,0
1.521,-3.228945945e-05,0,-1.831141539e-05,0,2.419247855e-06,0,2.419247835e-06,0
1.531,-4.361807131e-08,0,-4.580335468e-08,0,2.282716297e-06,0,2.282716278e-06,0
1.541,-1.079922067e-05,0,-4.580335468e-08,0,2.146275977e-06,0,2.146275958e-06,0
1.551,-2.155722947e-05,0,-1.832919656e-05,0,2.010237853e-06,0,2.010237835e-06,0
1.561,-3.231796553e-05,0,-1.832919656e-05,0,1.874844512e-06,0,1.874844495e-06,0
1.571,-4.27879158e-08,0,-4.019758368e-08,0,1.740422925e-06,0,1.740422909e-06,0
1.581,-1.080824158e-05,0,-4.019758368e-08,0,1.60735517e-06,0,1.607355155e-06,0
