"Time","estimated_follow_longi_velocity","follow_velocity_deviation_FL","follow_velocity_deviation_FR","follow_velocity_deviation_RL","follow_velocity_deviation_RR","follow_wheel_rot_rate_change_FL","follow_wheel_rot_rate_change_FR","follow_wheel_rot_rate_change_RL","follow_wheel_rot_rate_change_RR","follow_wheel_speed_CG_FL","follow_wheel_speed_CG_FR","follow_wheel_speed_CG_RL","follow_wheel_speed_CG_RR","groundtruth_follow_longi_velocity","is_follow_wheel_data_valid_FL","is_follow_wheel_data_valid_FR","is_follow_wheel_data_valid_RL","is_follow_wheel_data_valid_RR"
0.241,-3.188435215e-05,4.3974298e-05,4.120314047e-05,4.396314964e-05,4.12146815e-05,2e-06,2e-06,2e-06,2e-06,1.385580136e-06,-1.385589547e-06,1.374234069e-06,-1.374234069e-06,5.196374559e-07,1,1,1,1
0.251,-4.243970045e-08,4.413731984e-05,4.082063132e-05,4.412393887e-05,4.083440643e-05,1.666666667e-06,1.666666667e-06,1.666666667e-06,1.666666667e-06,1.658345622e-06,-1.658357492e-06,1.64476622e-06,-1.64476622e-06,5.946702589e-07,1,1,1,1
0.261,-1.064163969e-05,4.413731984e-05,4.082063132e-05,4.412393887e-05,4.083440643e-05,1.666666667e-06,1.666666667e-06,1.666666667e-06,1.666666667e-06,1.658345622e-06,-1.658357492e-06,1.64476622e-06,-1.64476622e-06,6.594749952e-07,1,1,1,1
0.271,-2.126294336e-05,4.413731984e-05,4.082063132e-05,4.412393887e-05,4.083440643e-05,1.666666667e-06,1.666666667e-06,1.666666667e-06,1.666666667e-06,1.658345622e-06,-1.658357492e-06,1.64476622e-06,-1.64476622e-06,7.080087957e-07,1,1,1,1
0.281,-3.190778878e-05,4.413731984e-05,4.082063132e-05,4.412393887e-05,4.083440643e-05,1.666666667e-06,1.666666667e-06,1.666666667e-06,1.666666667e-06,1.658345622e-06,-1.658357492e-06,1.64476622e-06,-1.64476622e-06,7.367222494e-07,1,1,1,1
0.291,-4.253541013e-08,4.423728408e-05,4.09124497e-05,4.422386999e-05,4.092625844e-05,1.428571429e-06,1.428571429e-06,1.428571429e-06,1.428571429e-06,1.662418746e-06,-1.662430272e-06,1.648805776e-06,-1.648805776e-06,7.466670639e-07,1,1,1,1
0.301,-1.072857413e-05,4.423728408e-05,4.09124497e-05,4.422386999e-05,4.092625844e-05,1.428571429e-06,1.428571429e-06,1.428571429e-06,1.428571429e-06,1.662418746e-06,-1.662430272e-06,1.648805776e-06,-1.648805776e-06,7.414219289e-07,1,1,1,1
0.311,-2.142854348e-05,4.423728408e-05,4.09124497e-05,4.422386999e-05,4.092625844e-05,1.428571429e-06,1.428571429e-06,1.428571429e-06,1.428571429e-06,1.662418746e-06,-1.662430272e-06,1.648805776e-06,-1.648805776e-06,7.252251681e-07,1,1,1,1
0.321,-3.213779237e-05,4.423728408e-05,4.09124497e-05,4.422386999e-05,4.092625844e-05,1.428571429e-06,1.428571429e-06,1.428571429e-06,1.428571429e-06,1.662418746e-06,-1.662430272e-06,1.648805776e-06,-1.648805776e-06,7.023816101e-07,1,1,1,1
0.331,-4.281143901e-08,4.426902642e-05,4.143469397e-05,4.425762032e-05,4.144649447e-05,1.25e-06,1.25e-06,1.25e-06,1.25e-06,1.417168067e-06,-1.417176839e-06,1.40556292e-06,-1.40556292e-06,6.764465534e-07,1,1,1,1
0.341,-1.075870923e-05,4.426902642e-05,4.143469397e-05,4.425762032e-05,4.144649447e-05,1.25e-06,1.25e-06,1.25e-06,1.25e-06,1.417168067e-06,-1.417176839e-06,1.40556292e-06,-1.40556292e-06,6.503263952e-07,1,1,1,1
